Full,Unaware,FairRelax,Oracle,Fair
10nodes20edges,0.288±0.363,0.21±0.322,0.023±0.123,0±0,0±0
15nodes30edges,0.212±0.395,0.157±0.309,0.003±0.016,0±0,0±0
20nodes40edges,0.203±0.341,0.165±0.312,0.019±0.145,0±0,0±0
25nodes50edges,0.146±0.321,0.138±0.304,0.014±0.075,0±0,0±0
30nodes60edges,0.155±0.304,0.143±0.312,0.02±0.123,0±0,0±0
35nodes70edges,0.117±0.211,0.058±0.122,0.005±0.032,0±0,0±0
40nodes80edges,0.095±0.189,0.075±0.182,0.009±0.055,0±0,0±0
45nodes90edges,0.09±0.17,0.076±0.174,0.01±0.068,0±0,0±0
50nodes100edges,0.122±0.289,0.094±0.255,0.007±0.062,0±0,0±0
